Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),15,Wheat,2005,157.78,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),27,"Rice, paddy",2005,278.66,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),44,Barley,2005,118.98,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),56,Maize (corn),2005,141.66,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),71,Rye,2005,112.07,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),75,Oats,2005,114.21,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),79,Millet,2005,181.45,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),83,Sorghum,2005,153.8,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),89,Buckwheat,2005,217.07,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),92,Quinoa,2005,645.24,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),94,Fonio,2005,391.05,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),97,Triticale,2005,137.09,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),101,Canary seed,2005,272.68,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),103,"Grain, mixed",2005,154.44,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),108,"Cereals, nes",2005,261.68,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),116,Potatoes,2005,168.78,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),122,Sweet potatoes,2005,75.53,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),125,Cassava,2005,104.46,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),135,Yautia (cocoyam),2005,487,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),136,Taro (cocoyam),2005,212.09,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),137,Yams,2005,255.04,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),149,"Roots and tubers, nes",2005,171.01,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),156,Sugar cane,2005,32.84,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),157,Sugar beet,2005,43.01,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),161,"Sugar crops, nes",2005,29.49,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),176,"Beans, dry",2005,601.39,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),181,"Broad beans, horse beans, dry",2005,355.45,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),187,"Peas, dry",2005,190.88,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),191,Chick peas,2005,484.07,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),195,"Cow peas, dry",2005,335.78,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),197,Pigeon peas,2005,534.23,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),201,Lentils,2005,408.36,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),203,Bambara beans,2005,196.82,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),205,Vetches,2005,176.12,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),210,Lupins,2005,173.57,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),211,"Pulses, nes",2005,555.83,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),216,"Brazil nuts, with shell",2005,896.84,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),217,"Cashew nuts, with shell",2005,875.31,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),220,Chestnut,2005,777.68,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),221,"Almonds, with shell",2005,2950.97,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),222,"Walnuts, with shell",2005,1552.63,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),223,Pistachios,2005,3284.14,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),224,Kola nuts,2005,599.41,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),225,"Hazelnuts, with shell",2005,1602.91,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),226,Areca nuts,2005,1747.31,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),234,"Nuts, nes",2005,1833.28,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),236,Soybeans,2005,274.29,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),242,"Groundnuts, with shell",2005,451.14,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),243,"Groundnuts, shelled",2005,302.27,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),249,Coconuts,2005,110.57,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),251,Copra,2005,340.04,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),254,"Oil, palm fruit",2005,42.95,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),256,Palm kernels,2005,258.12,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),257,"Oil, palm",2005,435.06,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),260,Olives,2005,800.7,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),261,"Oil, olive, virgin",2005,2838.97,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),263,Karite nuts (sheanuts),2005,136.38,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),265,Castor oil seed,2005,390.25,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),267,Sunflower seed,2005,275.21,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),270,Rapeseed,2005,278.94,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),275,Tung nuts,2005,137.72,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),280,Safflower seed,2005,315.18,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),289,Sesame seed,2005,676.93,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),292,Mustard seed,2005,410.22,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),296,Poppy seed,2005,811.89,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),299,Melonseed,2005,430.05,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),306,Vegetable tallow,2005,125.18,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),307,"Oil, stillingia",2005,135.72,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),310,Kapok fruit,2005,53.28,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),311,Kapokseed in shell,2005,82.23,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),328,Seed cotton,2005,671.59,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),329,Cottonseed,2005,330.04,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),333,Linseed,2005,303.21,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),339,Oilseeds nes,2005,311.52,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),358,Cabbages and other brassicas,2005,149.64,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),366,Artichokes,2005,720.39,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),367,Asparagus,2005,910.16,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),372,Lettuce and chicory,2005,467.51,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),373,Spinach,2005,234.19,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),378,Cassava leaves,2005,106.33,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),388,Tomatoes,2005,369.56,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),393,Cauliflowers and broccoli,2005,239.57,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),394,"Pumpkins, squash and gourds",2005,175.34,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),397,Cucumbers and gherkins,2005,198.55,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),399,Eggplants (aubergines),2005,213.8,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),401,"Chillies and peppers, green",2005,470.76,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),402,"Onions, shallots, green",2005,204.06,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),403,"Onions, dry",2005,210.03,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),406,Garlic,2005,526.34,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),407,"Leeks, other alliaceous vegetables",2005,894.73,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),414,"Beans, green",2005,355.56,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),417,"Peas, green",2005,330.95,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),420,"Vegetables, leguminous nes",2005,343.79,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),423,String beans,2005,953.54,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),426,Carrots and turnips,2005,249.5,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),430,Okra,2005,639.49,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),446,"Maize, green",2005,413.82,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),449,Mushrooms and truffles,2005,1804.26,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),459,Chicory roots,2005,776.81,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),461,Carobs,2005,210.33,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),463,"Vegetables, fresh nes",2005,188.44,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),486,Bananas,2005,281.63,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),489,Plantains,2005,206.46,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),490,Oranges,2005,193.26,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),495,"Tangerines, mandarins, clementines, satsumas",2005,247.02,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),497,Lemons and limes,2005,396.48,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),507,Grapefruit (inc. pomelos),2005,224.84,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),512,"Fruit, citrus nes",2005,452.05,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),515,Apples,2005,422.91,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),521,Pears,2005,408.83,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),523,Quinces,2005,394.82,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),526,Apricots,2005,552.11,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),530,"Cherries, sour",2005,610.62,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),531,Cherries,2005,1271.27,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),534,Peaches and nectarines,2005,544.41,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),536,Plums and sloes,2005,596.77,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),541,"Fruit, stone nes",2005,799.56,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),542,"Fruit, pome nes",2005,217.24,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),544,Strawberries,2005,1357.28,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),547,Raspberries,2005,1935,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),549,Gooseberries,2005,1407.69,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),550,Currants,2005,894.97,Fc,Calculated data
PX,Producer Prices - Supplementary,0,dummy,5533,Producer Price (Int $/tonne),552,Blueberries,2005,2531.49,Fc,Calculated data
