Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),27,"Rice, paddy",2005,2005,1000 Int. $,176746456.6,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),882,"Milk, whole fresh cow",2005,2005,1000 Int. $,169587725.5,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),944,"Meat indigenous, cattle",2005,2005,1000 Int. $,160143548.2,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1055,"Meat indigenous, pig",2005,2005,1000 Int. $,146832924.5,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),56,Maize,2005,2005,1000 Int. $,101101074.3,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1094,"Meat indigenous, chicken",2005,2005,1000 Int. $,100076775.9,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),15,Wheat,2005,2005,1000 Int. $,99427005.12,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),236,Soybeans,2005,2005,1000 Int. $,58852266.17,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),116,Potatoes,2005,2005,1000 Int. $,55138936.6,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),388,Tomatoes,2005,2005,1000 Int. $,47789902.75,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1062,"Eggs, hen, in shell",2005,2005,1000 Int. $,46971409.35,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),463,"Vegetables, fresh nes",2005,2005,1000 Int. $,43941489.17,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),156,Sugar cane,2005,2005,1000 Int. $,43209885.52,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),560,Grapes,2005,2005,1000 Int. $,38529397.54,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),767,Cotton lint,2005,2005,1000 Int. $,34991266.99,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),951,"Milk, whole fresh buffalo",2005,2005,1000 Int. $,31422108.91,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,2005,2005,1000 Int. $,26382331.17,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),486,Bananas,2005,2005,1000 Int. $,23339131.7,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1012,"Meat indigenous, sheep",2005,2005,1000 Int. $,22243657.03,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),125,Cassava,2005,2005,1000 Int. $,21577222.36,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),571,"Mangoes, mangosteens, guavas",2005,2005,1000 Int. $,18955739.53,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),242,"Groundnuts, with shell",2005,2005,1000 Int. $,17403977.57,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),44,Barley,2005,2005,1000 Int. $,16500364.42,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),329,Cottonseed,2005,2005,1000 Int. $,14433877.85,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),257,"Oil, palm",2005,2005,1000 Int. $,14038529.35,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),270,Rapeseed,2005,2005,1000 Int. $,13945958.67,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),403,"Onions, dry",2005,2005,1000 Int. $,13796229,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1091,"Eggs, other bird, in shell",2005,2005,1000 Int. $,13114253.15,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),260,Olives,2005,2005,1000 Int. $,12789250.81,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),137,Yams,2005,2005,1000 Int. $,12539932.19,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),490,Oranges,2005,2005,1000 Int. $,12207693.03,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),401,"Chillies and peppers, green",2005,2005,1000 Int. $,11889924.24,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),176,"Beans, dry",2005,2005,1000 Int. $,11409365.98,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1032,"Meat indigenous, goat",2005,2005,1000 Int. $,11106886.03,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),157,Sugar beet,2005,2005,1000 Int. $,10929749.53,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),826,"Tobacco, unmanufactured",2005,2005,1000 Int. $,10749295.82,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),836,"Rubber, natural",2005,2005,1000 Int. $,10638260.62,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),372,Lettuce and chicory,2005,2005,1000 Int. $,10513228.26,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),567,Watermelons,2005,2005,1000 Int. $,10401512.22,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),358,Cabbages and other brassicas,2005,2005,1000 Int. $,9951928.603,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),534,Peaches and nectarines,2005,2005,1000 Int. $,9696122.207,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),122,Sweet potatoes,2005,2005,1000 Int. $,9656606.462,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),449,Mushrooms and truffles,2005,2005,1000 Int. $,9561748.993,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),619,"Fruit, fresh nes",2005,2005,1000 Int. $,9254133.686,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),397,Cucumbers and gherkins,2005,2005,1000 Int. $,9213115.813,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),83,Sorghum,2005,2005,1000 Int. $,9162694.871,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),267,Sunflower seed,2005,2005,1000 Int. $,8456819.47,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),972,"Meat indigenous, buffalo",2005,2005,1000 Int. $,8024631.984,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),656,"Coffee, green",2005,2005,1000 Int. $,8005829.616,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),521,Pears,2005,2005,1000 Int. $,7935430.982,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),406,Garlic,2005,2005,1000 Int. $,7932920.445,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),544,Strawberries,2005,2005,1000 Int. $,7779056.705,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),603,"Fruit, tropical fresh nes",2005,2005,1000 Int. $,7203665.028,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),426,Carrots and turnips,2005,2005,1000 Int. $,6890770.041,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),399,Eggplants (aubergines),2005,2005,1000 Int. $,6858191.176,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1087,"Meat indigenous, turkey",2005,2005,1000 Int. $,6729005.512,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),249,Coconuts,2005,2005,1000 Int. $,6352521.279,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),489,Plantains and others,2005,2005,1000 Int. $,6305244.857,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),367,Asparagus,2005,2005,1000 Int. $,6103662.285,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),536,Plums and sloes,2005,2005,1000 Int. $,5949924.671,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),495,"Tangerines, mandarins, clementines, satsumas",2005,2005,1000 Int. $,5929671.423,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),79,Millet,2005,2005,1000 Int. $,5624962.84,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),221,"Almonds, with shell",2005,2005,1000 Int. $,5499800.898,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),414,"Beans, green",2005,2005,1000 Int. $,5491004.082,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1070,"Meat indigenous, duck",2005,2005,1000 Int. $,5482641.242,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),574,Pineapples,2005,2005,1000 Int. $,5068119.341,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1020,"Milk, whole fresh goat",2005,2005,1000 Int. $,5006450.314,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),568,"Melons, other (inc.cantaloupes)",2005,2005,1000 Int. $,4945812.966,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),497,Lemons and limes,2005,2005,1000 Int. $,4889142.775,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),417,"Peas, green",2005,2005,1000 Int. $,4393471.553,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),987,"Wool, greasy",2005,2005,1000 Int. $,4227591.329,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),661,"Cocoa, beans",2005,2005,1000 Int. $,4199688.636,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),393,Cauliflowers and broccoli,2005,2005,1000 Int. $,4187777.373,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),191,Chick peas,2005,2005,1000 Int. $,4088019.985,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),446,"Maize, green",2005,2005,1000 Int. $,4039933.893,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),667,Tea,2005,2005,1000 Int. $,3916044.616,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1163,"Meat, game",2005,2005,1000 Int. $,3809591.527,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),394,"Pumpkins, squash and gourds",2005,2005,1000 Int. $,3676488.492,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),982,"Milk, whole fresh sheep",2005,2005,1000 Int. $,3613945.374,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),430,Okra,2005,2005,1000 Int. $,3583731.965,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1182,"Honey, natural",2005,2005,1000 Int. $,3480991.533,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1077,"Meat indigenous, geese",2005,2005,1000 Int. $,3387876.959,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),577,Dates,2005,2005,1000 Int. $,3343326.791,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),373,Spinach,2005,2005,1000 Int. $,3325498.729,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),512,"Fruit, citrus nes",2005,2005,1000 Int. $,3238448.613,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),689,"Chillies and peppers, dry",2005,2005,1000 Int. $,3107846.778,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),711,"Anise, badian, fennel, coriander",2005,2005,1000 Int. $,3027150.349,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),217,"Cashew nuts, with shell",2005,2005,1000 Int. $,2801161.901,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),222,"Walnuts, with shell",2005,2005,1000 Int. $,2759702.542,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1144,"Meat indigenous, rabbit",2005,2005,1000 Int. $,2728500.026,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),75,Oats,2005,2005,1000 Int. $,2706475.084,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),136,Taro (cocoyam),2005,2005,1000 Int. $,2437675.667,*,Unofficial figure
